zeit	luftfeuchte	Temperatur	Druck
01:58:38	  000046.7	  000016.1	  000984.6
01:59:38	  000046.7	  000016.1	  000984.5
02:00:38	  000046.7	  000016.1	  000984.6
02:01:38	  000046.7	  000016.1	  000984.5
02:02:38	  000046.7	  000016.1	  000984.5
02:03:38	  000046.7	  000016.1	  000984.5
02:04:38	  000046.7	  000016.1	  000984.5
02:05:38	  000046.7	  000016.1	  000984.5
02:06:38	  000046.7	  000016.1	  000984.5
02:07:38	  000046.7	  000016.1	  000984.5
02:08:38	  000046.7	  000016.1	  000984.5
02:09:38	  000046.7	  000016.1	  000984.5
02:10:38	  000046.7	  000016.1	  000984.5
02:11:38	  000046.7	  000016.1	  000984.5
02:12:38	  000046.7	  000016.1	  000984.4
02:13:38	  000046.7	  000016.1	  000984.5
02:14:38	  000046.7	  000016.1	  000984.4
02:15:38	  000046.7	  000016.1	  000984.5
02:16:38	  000046.7	  000016.1	  000984.5
02:17:38	  000046.7	  000016.1	  000984.4
02:18:38	  000046.7	  000016.1	  000984.5
02:19:38	  000046.7	  000016.1	  000984.5
02:20:38	  000046.7	  000016.1	  000984.5
02:21:38	  000046.7	  000016.1	  000984.4
02:22:38	  000046.7	  000016.1	  000984.4
02:23:38	  000046.7	  000016.1	  000984.5
02:24:38	  000046.7	  000016.1	  000984.5
02:25:38	  000046.7	  000016.1	  000984.5
02:26:38	  000046.7	  000016.1	  000984.5
02:27:38	  000046.7	  000016.1	  000984.4
02:28:38	  000046.7	  000016.1	  000984.4
02:29:38	  000046.7	  000016.1	  000984.4
02:30:38	  000046.7	  000016.1	  000984.5
02:31:38	  000046.7	  000016.1	  000984.4
02:32:38	  000046.7	  000016.1	  000984.5
02:33:38	  000046.7	  000016.1	  000984.4
02:34:38	  000046.7	  000016.1	  000984.4
02:35:38	  000046.7	  000016.1	  000984.4
02:36:38	  000046.7	  000016.1	  000984.4
02:37:38	  000046.7	  000016.1	  000984.3
02:38:38	  000046.7	  000016.1	  000984.4
02:39:38	  000046.7	  000016.1	  000984.4
02:40:38	  000046.7	  000016.1	  000984.3
02:41:38	  000046.7	  000016.1	  000984.3
02:42:38	  000046.7	  000016.1	  000984.4
02:43:38	  000046.7	  000016.1	  000984.4
02:44:38	  000046.7	  000016.1	  000984.4
02:45:38	  000046.7	  000016.1	  000984.3
02:46:38	  000046.7	  000016.1	  000984.3
02:47:38	  000046.7	  000016.1	  000984.3
02:48:38	  000046.7	  000016.1	  000984.3
02:49:38	  000046.7	  000016.1	  000984.3
02:50:38	  000046.7	  000016.1	  000984.3
02:51:38	  000046.7	  000016.1	  000984.3
02:52:38	  000046.7	  000016.1	  000984.3
02:53:38	  000046.7	  000016.1	  000984.3
02:54:38	  000046.7	  000016.1	  000984.4
02:55:38	  000046.7	  000016.1	  000984.2
02:56:38	  000046.7	  000016.1	  000984.3
02:57:38	  000046.7	  000016.1	  000984.2
02:58:38	  000046.7	  000016.1	  000984.2
02:59:38	  000046.7	  000016.1	  000984.2
03:00:38	  000046.7	  000016.1	  000984.2
03:01:38	  000046.7	  000016.1	  000984.2
03:02:38	  000046.7	  000016.1	  000984.2
03:03:38	  000046.7	  000016.1	  000984.2
03:04:38	  000046.7	  000016.1	  000984.2
03:05:38	  000046.7	  000016.1	  000984.2
03:06:38	  000046.7	  000016.1	  000984.2
03:07:38	  000046.7	  000016.1	  000984.2
03:08:38	  000046.7	  000016.1	  000984.2
03:09:38	  000046.7	  000016.1	  000984.2
03:10:38	  000046.7	  000016.1	  000984.2
03:11:38	  000046.7	  000016.1	  000984.2
03:12:38	  000046.7	  000016.1	  000984.3
03:13:38	  000046.7	  000016.1	  000984.2
03:14:38	  000046.7	  000016.1	  000984.2
03:15:38	  000046.7	  000016.1	  000984.3
03:16:38	  000046.7	  000016.1	  000984.2
03:17:38	  000046.7	  000016.1	  000984.3
03:18:38	  000046.7	  000016.1	  000984.2
03:19:38	  000046.7	  000016.1	  000984.3
03:20:38	  000046.7	  000016.1	  000984.2
03:21:38	  000046.7	  000016.1	  000984.3
03:22:38	  000046.7	  000016.1	  000984.2
03:23:38	  000046.7	  000016.1	  000984.3
03:24:38	  000046.7	  000016.1	  000984.2
03:25:38	  000046.7	  000016.1	  000984.1
03:26:38	  000046.7	  000016.1	  000984.1
03:27:38	  000046.7	  000016.1	  000984.1
03:28:38	  000046.7	  000016.1	  000984.1
03:29:38	  000046.7	  000016.1	  000984.2
03:30:38	  000046.7	  000016.1	  000984.2
03:31:38	  000046.7	  000016.1	  000984.1
03:32:38	  000046.7	  000016.1	  000984.2
03:33:38	  000046.7	  000016.1	  000984.2
03:34:38	  000046.7	  000016.1	  000984.2
03:35:38	  000046.7	  000016.1	  000984.2
03:36:38	  000046.7	  000016.1	  000984.1
03:37:38	  000046.7	  000016.1	  000984.1
03:38:38	  000046.7	  000016.1	  000984.1
03:39:38	  000046.7	  000016.1	  000984.2
03:40:38	  000046.7	  000016.1	  000984.2
03:41:38	  000046.7	  000016.1	  000984.1
03:42:38	  000046.7	  000016.1	  000984.1
03:43:38	  000046.7	  000016.1	  000984.2
03:44:38	  000046.7	  000016.1	  000984.1
03:45:38	  000046.7	  000016.1	  000984.1
03:46:38	  000046.7	  000016.1	  000984.1
03:47:38	  000046.7	  000016.1	  000984.1
03:48:38	  000046.7	  000016.1	  000984.1
03:49:38	  000046.7	  000016.1	  000984.1
03:50:38	  000046.7	  000016.1	  000984.0
03:51:38	  000046.7	  000016.1	  000984.1
03:52:38	  000046.7	  000016.1	  000984.1
03:53:38	  000046.7	  000016.1	  000984.1
03:54:38	  000046.7	  000016.1	  000984.1
03:55:38	  000046.7	  000016.1	  000984.1
03:56:38	  000046.7	  000016.1	  000984.0
03:57:38	  000046.7	  000016.1	  000984.1
03:58:38	  000046.7	  000016.1	  000984.1
03:59:38	  000046.7	  000016.1	  000984.2
04:00:38	  000046.7	  000016.1	  000984.2
04:01:38	  000046.7	  000016.1	  000984.1
04:02:38	  000046.7	  000016.1	  000984.1
04:03:38	  000046.7	  000016.1	  000984.0
04:04:38	  000046.7	  000016.1	  000984.0
04:05:38	  000046.7	  000016.1	  000984.0
04:06:38	  000046.7	  000016.1	  000984.1
04:07:38	  000046.7	  000016.1	  000984.0
04:08:38	  000046.7	  000016.1	  000984.2
04:09:38	  000046.7	  000016.1	  000984.1
04:10:38	  000046.7	  000016.1	  000984.1
04:11:38	  000046.7	  000016.1	  000984.1
04:12:38	  000046.7	  000016.1	  000984.2
04:13:38	  000046.7	  000016.1	  000984.2
04:14:38	  000046.7	  000016.1	  000984.1
04:15:38	  000046.7	  000016.1	  000984.1
04:16:38	  000046.7	  000016.1	  000984.1
04:17:38	  000046.7	  000016.1	  000984.1
04:18:38	  000046.7	  000016.1	  000984.0
04:19:38	  000046.7	  000016.1	  000984.2
04:20:38	  000046.7	  000016.1	  000984.1
04:21:38	  000046.7	  000016.1	  000984.2
04:22:38	  000046.7	  000016.1	  000984.1
04:23:38	  000046.7	  000016.1	  000984.1
04:24:38	  000046.7	  000016.1	  000984.2
04:25:38	  000046.7	  000016.1	  000984.2
04:26:38	  000046.7	  000016.1	  000984.1
04:27:38	  000046.7	  000016.1	  000984.1
04:28:38	  000046.7	  000016.1	  000984.2
04:29:38	  000046.7	  000016.1	  000984.2
04:30:38	  000046.7	  000016.1	  000984.2
04:31:38	  000046.7	  000016.1	  000984.3
04:32:38	  000046.7	  000016.1	  000984.2
04:33:38	  000046.7	  000016.1	  000984.2
04:34:38	  000046.7	  000016.1	  000984.2
04:35:38	  000046.7	  000016.1	  000984.2
04:36:38	  000046.7	  000016.1	  000984.2
04:37:38	  000046.7	  000016.1	  000984.3
04:38:38	  000046.7	  000016.1	  000984.3
04:39:38	  000046.7	  000016.1	  000984.2
04:40:38	  000046.7	  000016.1	  000984.2
04:41:38	  000046.7	  000016.1	  000984.3
04:42:38	  000046.7	  000016.1	  000984.2
04:43:38	  000046.7	  000016.1	  000984.2
04:44:38	  000046.7	  000016.1	  000984.3
04:45:38	  000046.7	  000016.1	  000984.3
04:46:38	  000046.7	  000016.1	  000984.2
04:47:38	  000046.7	  000016.1	  000984.3
04:48:38	  000046.7	  000016.1	  000984.2
04:49:38	  000046.7	  000016.1	  000984.2
04:50:38	  000046.7	  000016.1	  000984.3
04:51:38	  000046.7	  000016.1	  000984.2
04:52:38	  000046.7	  000016.1	  000984.3
04:53:38	  000046.7	  000016.1	  000984.2
04:54:38	  000046.7	  000016.1	  000984.2
04:55:38	  000046.7	  000016.1	  000984.2
04:56:38	  000046.7	  000016.1	  000984.2
04:57:38	  000046.7	  000016.1	  000984.2
04:58:38	  000046.7	  000016.1	  000984.2
04:59:38	  000046.7	  000016.1	  000984.3
05:00:38	  000046.7	  000016.1	  000984.3
05:01:38	  000046.7	  000016.1	  000984.2
05:02:38	  000046.7	  000016.1	  000984.2
05:03:38	  000046.7	  000016.1	  000984.3
05:04:38	  000046.7	  000016.1	  000984.3
05:05:38	  000046.7	  000016.1	  000984.3
05:06:38	  000046.7	  000016.1	  000984.4
05:07:38	  000046.7	  000016.1	  000984.3
05:08:38	  000046.7	  000016.1	  000984.4
05:09:38	  000046.7	  000016.1	  000984.3
05:10:38	  000046.7	  000016.1	  000984.3
05:11:38	  000046.7	  000016.1	  000984.3
05:12:38	  000046.7	  000016.1	  000984.4
05:13:38	  000046.7	  000016.1	  000984.4
05:14:38	  000046.7	  000016.1	  000984.5
05:15:38	  000046.7	  000016.1	  000984.4
05:16:38	  000046.7	  000016.1	  000984.5
05:17:38	  000046.7	  000016.1	  000984.4
05:18:38	  000046.7	  000016.1	  000984.5
05:19:38	  000046.7	  000016.1	  000984.5
05:20:38	  000046.7	  000016.1	  000984.5
05:21:38	  000046.7	  000016.1	  000984.5
05:22:38	  000046.7	  000016.1	  000984.5
05:23:38	  000046.7	  000016.1	  000984.5
05:24:38	  000046.7	  000016.1	  000984.5
05:25:38	  000046.7	  000016.1	  000984.5
05:26:38	  000046.7	  000016.1	  000984.5
05:27:38	  000046.7	  000016.1	  000984.5
05:28:38	  000046.7	  000016.1	  000984.4
05:29:38	  000046.7	  000016.1	  000984.5
05:30:38	  000046.7	  000016.1	  000984.5
05:31:38	  000046.7	  000016.1	  000984.5
05:32:38	  000046.7	  000016.1	  000984.6
05:33:38	  000046.7	  000016.1	  000984.5
05:34:38	  000046.7	  000016.1	  000984.5
05:35:38	  000046.7	  000016.1	  000984.6
05:36:38	  000046.7	  000016.1	  000984.6
05:37:38	  000046.7	  000016.1	  000984.7
05:38:38	  000046.7	  000016.1	  000984.7
05:39:38	  000046.7	  000016.1	  000984.6
05:40:38	  000046.7	  000016.1	  000984.7
05:41:38	  000046.7	  000016.1	  000984.7
05:42:38	  000046.7	  000016.1	  000984.6
05:43:38	  000046.7	  000016.1	  000984.6
05:44:38	  000046.7	  000016.1	  000984.6
05:45:38	  000046.7	  000016.1	  000984.7
05:46:38	  000046.7	  000016.1	  000984.7
05:47:38	  000046.7	  000016.1	  000984.7
05:48:38	  000046.7	  000016.1	  000984.8
05:49:38	  000046.7	  000016.1	  000984.7
05:50:38	  000046.7	  000016.1	  000984.8
05:51:38	  000046.7	  000016.1	  000984.8
05:52:38	  000046.7	  000016.1	  000984.7
05:53:38	  000046.7	  000016.1	  000984.8
05:54:38	  000046.7	  000016.1	  000984.7
05:55:38	  000046.7	  000016.1	  000984.8
05:56:38	  000046.7	  000016.1	  000984.8
05:57:38	  000046.7	  000016.1	  000984.9
05:58:38	  000046.7	  000016.1	  000984.9
05:59:38	  000046.7	  000016.1	  000984.9
06:00:38	  000046.7	  000016.1	  000984.9
06:01:38	  000046.7	  000016.1	  000984.9
06:02:38	  000046.7	  000016.1	  000985.0
06:03:38	  000046.7	  000016.1	  000985.1
06:04:38	  000046.7	  000016.1	  000985.0
06:05:38	  000046.7	  000016.1	  000985.0
06:06:38	  000046.7	  000016.1	  000985.0
06:07:38	  000046.7	  000016.1	  000985.0
06:08:38	  000046.7	  000016.1	  000985.0
06:09:38	  000046.7	  000016.1	  000985.0
06:10:38	  000046.7	  000016.1	  000985.0
06:11:38	  000046.7	  000016.1	  000985.0
06:12:38	  000046.7	  000016.1	  000985.1
06:13:38	  000046.7	  000016.1	  000985.0
06:14:38	  000046.7	  000016.1	  000985.1
06:15:38	  000046.7	  000016.1	  000985.1
06:16:38	  000046.7	  000016.1	  000985.2
06:17:38	  000046.7	  000016.1	  000985.2
06:18:38	  000046.7	  000016.1	  000985.2
06:19:38	  000046.7	  000016.1	  000985.1
06:20:38	  000046.7	  000016.1	  000985.1
06:21:38	  000046.7	  000016.1	  000985.1
06:22:38	  000046.7	  000016.1	  000985.2
06:23:38	  000046.7	  000016.1	  000985.1
06:24:38	  000046.7	  000016.1	  000985.1
06:25:38	  000046.7	  000016.1	  000985.2
06:26:38	  000046.7	  000016.1	  000985.2
06:27:38	  000046.7	  000016.1	  000985.2
06:28:38	  000046.7	  000016.1	  000985.3
06:29:38	  000046.7	  000016.1	  000985.3
06:30:38	  000046.7	  000016.1	  000985.2
06:31:38	  000046.7	  000016.1	  000985.3
06:32:38	  000046.7	  000016.1	  000985.2
06:33:38	  000046.7	  000016.1	  000985.2
